date	close
2013-12-19-16-16-19	1387487779.64
2013-12-19-16-16-21	1387487781.16
2013-12-19-16-16-22	1387487782.86
2013-12-19-16-16-24	1387487784.55
2013-12-19-16-16-26	1387487786.38
2013-12-19-16-16-27	1387487787.94
2013-12-19-16-16-29	1387487789.52
2013-12-19-16-16-31	1387487791.2
2013-12-19-16-16-32	1387487792.78
2013-12-19-16-16-35	1387487795.78
2013-12-19-16-16-37	1387487797.48
2013-12-19-16-16-39	1387487799.03
2013-12-19-16-16-40	1387487800.61
2013-12-19-16-16-42	1387487802.15
2013-12-19-16-16-43	1387487803.7
2013-12-19-16-16-45	1387487805.26
2013-12-19-16-16-46	1387487806.82
2013-12-19-16-16-48	1387487808.36
2013-12-19-16-16-49	1387487809.92
2013-12-19-16-16-51	1387487811.67
2013-12-19-16-16-53	1387487813.2
2013-12-19-16-16-54	1387487814.77
2013-12-19-16-16-56	1387487816.34
2013-12-19-16-16-57	1387487817.89
2013-12-19-16-16-59	1387487819.45
2013-12-19-16-17-02	1387487822.46
2013-12-19-16-17-04	1387487824.09
2013-12-19-16-17-05	1387487825.66
2013-12-19-16-17-07	1387487827.2
2013-12-19-16-17-08	1387487828.75
2013-12-19-16-17-10	1387487830.29
2013-12-19-16-17-11	1387487831.85
2013-12-19-16-17-13	1387487833.41
2013-12-19-16-17-16	1387487836.41
2013-12-19-16-17-18	1387487838.06
2013-12-19-16-17-21	1387487841.07
2013-12-19-16-17-22	1387487842.98
2013-12-19-16-17-24	1387487844.56
2013-12-19-16-17-26	1387487846.14
2013-12-19-16-17-27	1387487847.68
2013-12-19-16-17-29	1387487849.22
2013-12-19-16-17-30	1387487850.76
2013-12-19-16-17-32	1387487852.3
2013-12-19-16-17-33	1387487853.87
2013-12-19-16-17-35	1387487855.42
2013-12-19-16-17-36	1387487856.98
2013-12-19-16-17-38	1387487858.56
2013-12-19-16-17-41	1387487861.56
2013-12-19-16-17-43	1387487863.11
2013-12-19-16-17-44	1387487864.67
2013-12-19-16-17-46	1387487866.23
2013-12-19-16-17-47	1387487867.78
